1763068153.006135 client started (182318): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1763068153.006174 on Linux 6.17.4-76061704-generic #202510191616~1762410050~22.04~898873a SMP PREEMPT_DYNAMIC Thu N
1763068153.007023 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.007028 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.007033 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.007039 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.007045 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.007050 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.007055 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007060 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007065 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007071 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007076 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007082 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.007087 sending message 112 to peer 0x62485a885760 (11 bytes)
1763068153.007092 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007097 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.007102 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.007107 sending message 112 to peer 0x62485a885760 (12 bytes)
1763068153.007113 sending message 112 to peer 0x62485a885760 (9 bytes)
1763068153.007118 sending message 112 to peer 0x62485a885760 (6 bytes)
1763068153.007123 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.007129 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.007134 sending message 112 to peer 0x62485a885760 (15 bytes)
1763068153.007139 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.007144 sending message 112 to peer 0x62485a885760 (70 bytes)
1763068153.007149 sending message 112 to peer 0x62485a885760 (69 bytes)
1763068153.007154 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007159 sending message 112 to peer 0x62485a885760 (8 bytes)
1763068153.007165 sending message 112 to peer 0x62485a885760 (15 bytes)
1763068153.007170 sending message 112 to peer 0x62485a885760 (13 bytes)
1763068153.007175 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007180 sending message 112 to peer 0x62485a885760 (10 bytes)
1763068153.007185 sending message 112 to peer 0x62485a885760 (5 bytes)
1763068153.007190 sending message 112 to peer 0x62485a885760 (15 bytes)
1763068153.007197 sending message 104 to peer 0x62485a885760 (0 bytes)
1763068153.007203 sending message 110 to peer 0x62485a885760 (0 bytes)
1763068153.007209 sending message 107 to peer 0x62485a885760 (4 bytes)
1763068153.007215 sending message 105 to peer 0x62485a885760 (40 bytes)
1763068153.007220 sending message 105 to peer 0x62485a885760 (57 bytes)
1763068153.007226 sending message 105 to peer 0x62485a885760 (29 bytes)
1763068153.007232 sending message 105 to peer 0x62485a885760 (39 bytes)
1763068153.007238 sending message 105 to peer 0x62485a885760 (63 bytes)
1763068153.007243 sending message 105 to peer 0x62485a885760 (38 bytes)
1763068153.007248 sending message 105 to peer 0x62485a885760 (18 bytes)
1763068153.007254 sending message 105 to peer 0x62485a885760 (60 bytes)
1763068153.007259 sending message 105 to peer 0x62485a885760 (26 bytes)
1763068153.007265 sending message 105 to peer 0x62485a885760 (20 bytes)
1763068153.007271 sending message 105 to peer 0x62485a885760 (54 bytes)
1763068153.007299 sending message 105 to peer 0x62485a885760 (48 bytes)
1763068153.007308 sending message 105 to peer 0x62485a885760 (20 bytes)
1763068153.007313 sending message 105 to peer 0x62485a885760 (11 bytes)
1763068153.007319 sending message 105 to peer 0x62485a885760 (114 bytes)
1763068153.007325 sending message 105 to peer 0x62485a885760 (74 bytes)
1763068153.007331 sending message 105 to peer 0x62485a885760 (61 bytes)
1763068153.007336 sending message 105 to peer 0x62485a885760 (31 bytes)
1763068153.007342 sending message 105 to peer 0x62485a885760 (12 bytes)
1763068153.007347 sending message 105 to peer 0x62485a885760 (10 bytes)
1763068153.007352 sending message 105 to peer 0x62485a885760 (17 bytes)
1763068153.007363 sending message 105 to peer 0x62485a885760 (223 bytes)
1763068153.007368 sending message 105 to peer 0x62485a885760 (218 bytes)
1763068153.007392 sending message 105 to peer 0x62485a885760 (76 bytes)
1763068153.007398 sending message 105 to peer 0x62485a885760 (67 bytes)
1763068153.007404 sending message 105 to peer 0x62485a885760 (11 bytes)
1763068153.007409 sending message 105 to peer 0x62485a885760 (15 bytes)
1763068153.007414 sending message 105 to peer 0x62485a885760 (37 bytes)
1763068153.007419 sending message 105 to peer 0x62485a885760 (54 bytes)
1763068153.007425 sending message 105 to peer 0x62485a885760 (44 bytes)
1763068153.007430 sending message 105 to peer 0x62485a885760 (29 bytes)
1763068153.007435 sending message 105 to peer 0x62485a885760 (15 bytes)
1763068153.007440 sending message 105 to peer 0x62485a885760 (52 bytes)
1763068153.007445 sending message 105 to peer 0x62485a885760 (19 bytes)
1763068153.007451 sending message 105 to peer 0x62485a885760 (28 bytes)
1763068153.007456 sending message 105 to peer 0x62485a885760 (46 bytes)
1763068153.007461 sending message 105 to peer 0x62485a885760 (19 bytes)
1763068153.007466 sending message 105 to peer 0x62485a885760 (23 bytes)
1763068153.007472 sending message 105 to peer 0x62485a885760 (17 bytes)
1763068153.007477 sending message 105 to peer 0x62485a885760 (50 bytes)
1763068153.007482 sending message 105 to peer 0x62485a885760 (43 bytes)
1763068153.007488 sending message 105 to peer 0x62485a885760 (56 bytes)
1763068153.007494 sending message 105 to peer 0x62485a885760 (86 bytes)
1763068153.007500 sending message 105 to peer 0x62485a885760 (47 bytes)
1763068153.007505 sending message 105 to peer 0x62485a885760 (23 bytes)
1763068153.007510 sending message 105 to peer 0x62485a885760 (17 bytes)
1763068153.007515 sending message 105 to peer 0x62485a885760 (14 bytes)
1763068153.007521 sending message 105 to peer 0x62485a885760 (16 bytes)
1763068153.007526 sending message 105 to peer 0x62485a885760 (51 bytes)
1763068153.007531 sending message 105 to peer 0x62485a885760 (25 bytes)
1763068153.007536 sending message 105 to peer 0x62485a885760 (43 bytes)
1763068153.007541 sending message 105 to peer 0x62485a885760 (68 bytes)
1763068153.007547 sending message 105 to peer 0x62485a885760 (53 bytes)
1763068153.007552 sending message 105 to peer 0x62485a885760 (29 bytes)
1763068153.007558 sending message 105 to peer 0x62485a885760 (43 bytes)
1763068153.007564 sending message 105 to peer 0x62485a885760 (39 bytes)
1763068153.007569 sending message 105 to peer 0x62485a885760 (50 bytes)
1763068153.007574 sending message 105 to peer 0x62485a885760 (26 bytes)
1763068153.007579 sending message 105 to peer 0x62485a885760 (19 bytes)
1763068153.007585 sending message 105 to peer 0x62485a885760 (18 bytes)
1763068153.007590 sending message 105 to peer 0x62485a885760 (55 bytes)
1763068153.007595 sending message 105 to peer 0x62485a885760 (19 bytes)
1763068153.007601 sending message 105 to peer 0x62485a885760 (88 bytes)
1763068153.007606 sending message 105 to peer 0x62485a885760 (15 bytes)
1763068153.007613 sending message 105 to peer 0x62485a885760 (8 bytes)
1763068153.007618 sending message 105 to peer 0x62485a885760 (50 bytes)
1763068153.007624 sending message 105 to peer 0x62485a885760 (54 bytes)
1763068153.007629 sending message 105 to peer 0x62485a885760 (44 bytes)
1763068153.007635 sending message 105 to peer 0x62485a885760 (48 bytes)
1763068153.007640 sending message 105 to peer 0x62485a885760 (33 bytes)
1763068153.007646 sending message 105 to peer 0x62485a885760 (41 bytes)
1763068153.007651 sending message 105 to peer 0x62485a885760 (54 bytes)
1763068153.007657 sending message 105 to peer 0x62485a885760 (38 bytes)
1763068153.007662 sending message 105 to peer 0x62485a885760 (19 bytes)
1763068153.007667 sending message 105 to peer 0x62485a885760 (22 bytes)
1763068153.007673 sending message 105 to peer 0x62485a885760 (21 bytes)
1763068153.007679 sending message 105 to peer 0x62485a885760 (18 bytes)
1763068153.007684 sending message 105 to peer 0x62485a885760 (26 bytes)
1763068153.007700 sending message 105 to peer 0x62485a885760 (113 bytes)
1763068153.007706 sending message 105 to peer 0x62485a885760 (59 bytes)
1763068153.007711 sending message 105 to peer 0x62485a885760 (37 bytes)
1763068153.007717 sending message 105 to peer 0x62485a885760 (22 bytes)
1763068153.007722 sending message 105 to peer 0x62485a885760 (13 bytes)
1763068153.007728 sending message 105 to peer 0x62485a885760 (51 bytes)
1763068153.007733 sending message 105 to peer 0x62485a885760 (11 bytes)
1763068153.007738 sending message 105 to peer 0x62485a885760 (15 bytes)
1763068153.007744 sending message 105 to peer 0x62485a885760 (55 bytes)
1763068153.007750 sending message 105 to peer 0x62485a885760 (33 bytes)
1763068153.007755 sending message 105 to peer 0x62485a885760 (18 bytes)
1763068153.007760 sending message 105 to peer 0x62485a885760 (13 bytes)
1763068153.007766 sending message 105 to peer 0x62485a885760 (41 bytes)
1763068153.007771 sending message 105 to peer 0x62485a885760 (34 bytes)
1763068153.007777 sending message 105 to peer 0x62485a885760 (42 bytes)
1763068153.007782 sending message 105 to peer 0x62485a885760 (36 bytes)
1763068153.007788 sending message 105 to peer 0x62485a885760 (30 bytes)
1763068153.007794 sending message 105 to peer 0x62485a885760 (244 bytes)
1763068153.007800 sending message 105 to peer 0x62485a885760 (39 bytes)
1763068153.007805 sending message 105 to peer 0x62485a885760 (23 bytes)
1763068153.007811 sending message 105 to peer 0x62485a885760 (40 bytes)
1763068153.007816 sending message 105 to peer 0x62485a885760 (23 bytes)
1763068153.007822 sending message 105 to peer 0x62485a885760 (24 bytes)
1763068153.007827 sending message 105 to peer 0x62485a885760 (21 bytes)
1763068153.007832 sending message 105 to peer 0x62485a885760 (20 bytes)
1763068153.007837 sending message 105 to peer 0x62485a885760 (33 bytes)
1763068153.007847 sending message 105 to peer 0x62485a885760 (38 bytes)
1763068153.007853 sending message 105 to peer 0x62485a885760 (11 bytes)
1763068153.007858 sending message 105 to peer 0x62485a885760 (16 bytes)
1763068153.007863 sending message 105 to peer 0x62485a885760 (28 bytes)
1763068153.007868 sending message 105 to peer 0x62485a885760 (18 bytes)
1763068153.007874 sending message 105 to peer 0x62485a885760 (688 bytes)
1763068153.007880 sending message 106 to peer 0x62485a885760 (0 bytes)
1763068153.007889 sending message 200 to peer 0x62485a885760 (4 bytes)
1763068153.007894 client loop enter
1763068153.008532 peer 0x62485a885760 message 303
1763068153.008538 open write file 2 -
1763068153.008543 sending message 305 to peer 0x62485a885760 (8 bytes)
1763068153.008550 write check file 2
1763068153.008602 peer 0x62485a885760 message 304
1763068153.008604 write 58 to file 2
1763068153.008608 peer 0x62485a885760 message 203
1763068153.008610 file 2 58 bytes left
1763068153.008617 write check file 2
1763068153.008619 client loop exit
